value,ignore,type,minVersion,maxVersion,en,de,ru
proof-mac-rgb,FALSE,menu,,,View > Proof Setup > Legacy Macintosh RGB (Gamma 1.8),Ansicht > Proof einrichten > Altes Macintosh-RGB (Gamma 1.8),Просмотр > Параметры цветопробы > Ранняя версия Macintosh RGB (Gamma 1.8)
proof-win-rgb,FALSE,menu,,,View > Proof Setup > Internet Standard RGB (sRGB),Ansicht > Proof einrichten > Internet-Standard-RGB (sRGB),Просмотр > Параметры цветопробы > Стандартная палитра RGB (sRGB) для сети Интернет
proof-monitor-rgb,FALSE,menu,,,View > Proof Setup > Monitor RGB,Ansicht > Proof einrichten > Monitor-RGB,Просмотр > Параметры цветопробы > Палитра RGB монитора
proof-colorblindp,FALSE,menu,,,View > Proof Setup > Color blindness - Protanopia-type,Ansicht > Proof einrichten > Farbenblindheit (Protanopie),Просмотр > Параметры цветопробы > Дальтонизм - протанопия
proof-colorblindd,FALSE,menu,,,View > Proof Setup > Color blindness - Deuteranopia-type,Ansicht > Proof einrichten > Farbenblindheit (Deuteranopie),Просмотр > Параметры цветопробы > Дальтонизм - дейтеранопия
proof-custom,FALSE,menu,,,View > Proof Setup > Customize...,Ansicht > Proof einrichten > Anpassen …,Просмотр > Параметры цветопробы > Заказные параметры…
proofColors,FALSE,menu,,,View > Proof Colors,Ansicht > Farbproof,Просмотр > Цветопроба
zoomin,FALSE,menu,,,View > Zoom In,Ansicht > Einzoomen,Просмотр > Увеличение
zoomout,FALSE,menu,,,View > Zoom Out,Ansicht > Auszoomen,Просмотр > Уменьшение
fitin,FALSE,menu,,,View > Fit Artboard in Window,Ansicht > Zeichenfläche in Fenster einpassen,Просмотр > Подогнать монтажную область по размеру окна
fitall,FALSE,menu,,,View > Fit All in Window,Ansicht > Alle in Fenster einpassen,Просмотр > Подогнать все по размеру окна
AISlice Feedback Menu,FALSE,menu,,,View > Show / Hide Slices,Ansicht > Slices einblenden / ausblenden,Просмотр > Показать / спрятать фрагменты
AISlice Lock Menu,FALSE,menu,,,View > Lock Slices,Ansicht > Slices fixieren,Просмотр > Закрепить фрагменты
AI Bounding Box Toggle,FALSE,menu,,,View > Show / Hide Bounding Box,Ansicht > Begrenzungsrahmen einblenden / ausblenden,Просмотр > Показать / спрятать ограничительную рамку
TransparencyGrid Menu Item,FALSE,menu,,,View > Show / Hide Transparency Grid,Ansicht > Transparenzraster einblenden / ausblenden,Просмотр > Показать / спрятать сетку прозрачности
actualsize,FALSE,menu,,,View > Actual Size,Ansicht > Originalgröße,Просмотр > Реальный размер
Show Gaps Planet X,FALSE,menu,,,View > Show / Hide Live Paint Gaps,Ansicht > Interaktive Mallücken einblenden / ausblenden,Просмотр > Показать / спрятать зазоры быстрых заливок
Gradient Feedback,FALSE,menu,,,View > Show / Hide Gradient Annotator,Ansicht > Verlaufsoptimierer einblenden / ausblenden,Просмотр > Показать / спрятать градиентный аннотатор
Live Corner Annotator,FALSE,menu,17.1,,View > Show / Hide Corner Widget,Ansicht > Ecken-Widget einblenden / ausblenden,Просмотр > Показать / скрыть виджет углов
edge,FALSE,menu,,,View > Show / Hide Edges,Ansicht > Ecken einblenden / ausblenden,Просмотр > Показать / спрятать границы
Snapomatic on-off menu item,FALSE,menu,,,View > Smart Guides,Ansicht > Intelligente Hilfslinien,Просмотр > Быстрые направляющие
Show Perspective Grid,FALSE,menu,,,View > Perspective Grid > Show / Hide Grid,Ansicht > Perspektivenraster > Raster einblenden / ausblenden,Просмотр > Сетка перспективы > Показать / скрыть сетку
Show Ruler,FALSE,menu,,,View > Perspective Grid > Show / Hide Rulers,Ansicht > Perspektivenraster > Lineale einblenden / ausblenden,Просмотр > Сетка перспективы > Показать / скрыть линейки
Snap to Grid,FALSE,menu,,,View > Perspective Grid > Snap to Grid,Ansicht > Perspektivenraster > Am Raster ausrichten,Просмотр > Сетка перспективы > Привязать к сетке
Lock Perspective Grid,FALSE,menu,,,View > Perspective Grid > Lock Grid,Ansicht > Perspektivenraster > Raster sperren,Просмотр > Сетка перспективы > Закрепить сетку
Lock Station Point,FALSE,menu,,,View > Perspective Grid > Lock Station Point,Ansicht > Perspektivenraster > Bezugspunkt sperren,Просмотр > Сетка перспективы > Закрепить точку наблюдения
Define Perspective Grid,FALSE,menu,,,View > Perspective Grid > Define Grid,Ansicht > Perspektivenraster > Raster definieren,Просмотр > Сетка перспективы > Определить сетку...
Save Perspective Grid as Preset,FALSE,menu,,,View > Perspective Grid > Save Grid as Preset,Ansicht > Perspektivenraster > Raster als Vorgabe speichern,Просмотр > Сетка перспективы > Сохранить сетку как стиль...
artboard,FALSE,menu,,,View > Show / Hide Artboards,Ansicht > Zeichenflächen einblenden / ausblenden,Просмотр > Показать / скрыть монтажные области
pagetiling,FALSE,menu,,,View > Show / Hide Print Tiling,Ansicht > Druckaufteilung einblenden / ausblenden,Просмотр > Показать / спрятать разбиение для печати
showtemplate,FALSE,menu,,,View > Show / Hide Template,Ansicht > Vorlage einblenden / ausblenden,Просмотр > Спрятать шаблон
ruler,FALSE,menu,,,View > Rulers > Show / Hide Rulers,Ansicht > Lineale > Lineale einblende / ausblendenn,Просмотр > Показать / скрыть линейки
rulerCoordinateSystem,FALSE,menu,,,View > Rulers > Change to Global Rulers,Ansicht > Lineale > In globale Lineale ändern,Просмотр > Линейки > Сменить на общие линейки / монтажной области
videoruler,FALSE,menu,,,View > Rulers > Show / Hide Video Rulers,Ansicht > Lineale > Videolineale einblenden / ausblenden,Просмотр > Показать / скрыть линейки видео
textthreads,FALSE,menu,,,View > Show / Hide Text Threads,Ansicht > Textverkettungen einblenden / ausblenden,Просмотр > Показать / спрятать связи текстовых блоков
showguide,FALSE,menu,,,View > Guides > Show / Hide Guides,Ansicht > Hilfslinien > Hilfslinien einblenden / ausblenden,Просмотр > Направляющие > Показать / спрятать направляющие
lockguide,FALSE,menu,,,View > Guides > Lock Guides,Ansicht > Hilfslinien > Hilfslinien sperren,Просмотр > Направляющие > Закрепить направляющие
makeguide,FALSE,menu,,,View > Guides > Make Guides,Ansicht > Hilfslinien > Hilfslinien erstellen,Просмотр > Направляющие > Создать направляющие
releaseguide,FALSE,menu,,,View > Guides > Release Guides,Ansicht > Hilfslinien > Hilfslinien zurückwandeln,Просмотр > Направляющие > Освободить направляющие
clearguide,FALSE,menu,,,View > Guides > Clear Guides,Ansicht > Hilfslinien > Hilfslinien löschen,Просмотр > Направляющие > Удалить направляющие
showgrid,FALSE,menu,,,View > Show / Hide Grid,Ansicht > Raster einblenden / ausblenden,Просмотр > Показать / спрятать сетку
snapgrid,FALSE,menu,,,View > Snap to Grid,Ansicht > Am Raster ausrichten,Просмотр > Выравнивать по сетке
snappoint,FALSE,menu,,,View > Snap to Point,Ansicht > An Punkt ausrichten,Просмотр > Выравнивать по точкам
newview,FALSE,menu,,,View > New View...,Ansicht > Neue Ansicht …,Просмотр > Новый вид…
editview,FALSE,menu,,,View > Edit Views...,Ansicht > Ansicht bearbeiten …,Просмотр > Редактировать виды…
newwindow,FALSE,menu,,,Window > New Window,Fenster > Neues Fenster,Окно > Новое окно
cascade,FALSE,menu,,,Window > Arrange > Cascade,Fenster > Anordnen > Überlappend,Окно > Упорядить > Каскадом
tile,FALSE,menu,,,Window > Arrange > Tile,Fenster > Anordnen > Nebeneinander,Окно > Упорядить > Мозаикой
floatInWindow,FALSE,menu,,,Window > Arrange > Float in Window,Fenster > Anordnen > In Fenster verschiebbar machen,Окно > Упорядить > Плавающее в окне
floatAllInWindows,FALSE,menu,,,Window > Arrange > Float All in Windows,Fenster > Anordnen > Alle in Fenstern verschiebbar machen,Окно > Упорядить > Все плавающие в окнах
consolidateAllWindows,FALSE,menu,,,Window > Arrange > Consolidate All Windows,Fenster > Anordnen > Alle Fenster zusammenführen,Окно > Упорядить > Объединить все окна
Adobe Reset Workspace,FALSE,menu,,,Window > Reset Workspace,Fenster > Arbeitsbereich > Zurücksetzen,Окно > Восстановить рабочую среду
Adobe New Workspace,FALSE,menu,,,Window > Workspace > New Workspace...,Fenster > Arbeitsbereich > Neuer Arbeitsbereich …,Окно > Рабочая среда > Создать рабочую среду...
Adobe Manage Workspace,FALSE,menu,,,Window > Workspace > Manage Workspaces...,Fenster > Arbeitsbereich > Arbeitsbereiche verwalten …,Окно > Рабочая среда > Управление рабочими средами...
Browse Add-Ons Menu,FALSE,menu,19,,Window > Find Extensions on Exchange...,Fenster > Erweiterungen auf Exchange suchen …,Окно > Поиск расширений на Exchange...
drover control palette plugin,FALSE,menu,,,Window > Control,Fenster > Steuerung,Окно > Панель управления
Adobe Advanced Toolbar Menu,FALSE,menu,23,,Window > Toolbars > Advanced,Fenster > Werkzeugleisten > Erweitert,Окно > Панели инструментов > Дополнительные
Adobe Basic Toolbar Menu,FALSE,menu,23,,Window > Toolbars > Basic,Fenster > Werkzeugleisten > Einfach,Окно > Панели инструментов > Основные
New Tools Panel,FALSE,menu,17,,Window > Toolbars > New Toolbar...,Fenster > Werkzeugleisten > Neue Werkzeugleiste …,Окно > Панели инструментов > Новая панель инструментов...
Manage Tools Panel,FALSE,menu,17,,Window > Toolbars > Manage Toolbar...,Fenster > Werkzeugleisten > Werkzeugleisten verwalten …,Окно > Панели инструментов > Управление панелями инструментов...
Adobe 3D Panel,FALSE,menu,26,,Window > 3D and Materials,Fenster > 3D und Materialien,Окно > 3D и материалы
Adobe Action Palette,FALSE,menu,,,Window > Actions,Fenster > Aktionen,Окно > Операции
AdobeAlignObjects2,FALSE,menu,,,Window > Align,Fenster > Ausrichten,Окно > Выравнивание
Style Palette,FALSE,menu,,,Window > Appearance,Fenster > Aussehen,Окно > Оформление
Adobe Artboard Palette,FALSE,menu,,,Window > Artboards,Fenster > Zeichenflächen,Окно > Монтажные области
Adobe SmartExport Panel Menu Item,FALSE,menu,20,,Window > Asset Export,Fenster > Export von Element,Окно > Экспорт ресурсов
internal palettes posing as plug-in menus-attributes,FALSE,menu,,,Window > Attributes,Fenster > Attribute,Окно > Атрибуты
Adobe BrushManager Menu Item,FALSE,menu,,,Window > Brushes,Fenster > Pinsel,Окно > Кисти
Adobe Color Palette,FALSE,menu,,,Window > Color,Fenster > Farbe,Окно > Цвет
Adobe Harmony Palette,FALSE,menu,,,Window > Color Guide,Fenster > Farbhilfe,Окно > Каталог цветов
Adobe Illustrator Kuler Panel,FALSE,menu,22,25.9,Window > Color Themes,,
Adobe Commenting Palette,FALSE,menu,26,,Window > Comments,Fenster > Kommentare,Окно > Комментарии
CSS Menu Item,FALSE,menu,,,Window > CSS Properties,CSS-Eigenschaften,Окно > Свойства CSS
DocInfo1,FALSE,menu,,,Window > Document Info,Fenster > Dokumentinformationen,Окно > Информация о документе
Adobe Flattening Preview,FALSE,menu,,,Window > Flattener Preview,Fenster > Reduzierungsvorschau,Окно > Просмотр результатов сведения
Adobe Gradient Palette,FALSE,menu,,,Window > Gradient,Fenster > Verlauf,Окно > Градиент
Adobe Style Palette,FALSE,menu,,,Window > Graphic Styles,Fenster > Grafikstile,Окно > Стили графики
Adobe HistoryPanel Menu Item,FALSE,menu,26.4,26.9,Window > History,Fenster > Versionsverlauf,Окно > История
Adobe History Panel Menu Item,FALSE,menu,27,,Window > History,Fenster > Versionsverlauf,Окно > История
Adobe Vectorize Panel,FALSE,menu,,,Window > Image Trace,,
internal palettes posing as plug-in menus-info,FALSE,menu,,,Window > Info,Fenster > Info,Окно > Информация
AdobeLayerPalette1,FALSE,menu,,,Window > Layers,Fenster > Ebenen,Окно > Слои
Adobe Learn Panel Menu Item,FALSE,menu,22,25.9,Window > Learn,,
Adobe CSXS Extension com.adobe.DesignLibraries.angularLibraries,FALSE,menu,,,Window > Libraries,Fenster > Bibliotheken,Окно > Библиотеки
Adobe LinkPalette Menu Item,FALSE,menu,,,Window > Links,Fenster > Verknüpfungen,Окно > Связи
AI Magic Wand,FALSE,menu,,,Window > Magic Wand,Fenster > Zauberstab,Окно > Волшебная палочка
AdobeNavigator,FALSE,menu,,,Window > Navigator,Fenster > Navigator,Окно > Навигатор
Adobe PathfinderUI,FALSE,menu,,,Window > Pathfinder,Fenster > Pathfinder,Окно > Обработка контуров
Adobe Pattern Panel Toggle,FALSE,menu,,,Window > Pattern Options,Fenster > Musteroptionen,Окно > Параметры узора
Adobe Property Palette,FALSE,menu,26,,Window > Properties,Fenster > Eigenschaften,Окно > Свойства
Adobe Separation Preview Panel,FALSE,menu,,,Window > Separations Preview,Fenster > Separationenvorschau,Окно > Просмотр цветоделений
Adobe Stroke Palette,FALSE,menu,,,Window > Stroke,Fenster > Kontur,Окно > Обводка
Adobe SVG Interactivity Palette,FALSE,menu,,,Window > SVG Interactivity,Fenster > SVG-Interaktivität,Окно > Интерактивность SVG
Adobe Swatches Menu Item,FALSE,menu,,,Window > Swatches,Fenster > Farbfelder,Окно > Образцы
Adobe Symbol Palette,FALSE,menu,,,Window > Symbols,Fenster > Symbole,Окно > Символы
AdobeTransformObjects1,FALSE,menu,,,Window > Transform,Fenster > Transformieren,Окно > Трансформирование
Adobe Transparency Palette Menu Item,FALSE,menu,,,Window > Transparency,Fenster > Transparenz,Окно > Прозрачность
internal palettes posing as plug-in menus-character,FALSE,menu,,,Window > Type > Character,Fenster > Schrift > Zeichen,Окно > Текст > Символ
Character Styles,FALSE,menu,,,Window > Type > Character Styles,Fenster > Schrift > Zeichenformate,Окно > Текст > Стили символов
alternate glyph palette plugin 2,FALSE,menu,,,Window > Type > Glyphs,Fenster > Schrift > Glyphen,Окно > Текст > Глифы
internal palettes posing as plug-in menus-opentype,FALSE,menu,,,Window > Type > OpenType,Fenster > Schrift > OpenType,Окно > Текст > OpenType
internal palettes posing as plug-in menus-paragraph,FALSE,menu,,,Window > Type > Paragraph,Fenster > Schrift > Absatz,Окно > Текст > Абзац
Adobe Paragraph Styles Palette,FALSE,menu,,,Window > Type > Paragraph Styles,Fenster > Schrift > Absatzformate,Окно > Текст > Стили абзацев
internal palettes posing as plug-in menus-tab,FALSE,menu,,,Window > Type > Tabs,Fenster > Schrift > Tabulatoren,Окно > Текст > Табуляция
Adobe Variables Palette Menu Item,FALSE,menu,,,Window > Variables,Fenster > Variablen,Окно > Переменные
Adobe Version History File Menu Item,FALSE,menu,26,,Window > Version History,Fenster > Versionsverlauf,Окно > Журнал версий
_Brush Library Menu Item 1,TRUE,menu,,,Window > Brush Libraries > Arrows > Arrows_Special,,
_Brush Library Menu Item 2,TRUE,menu,,,Window > Brush Libraries > Arrows > Arrows_Standard,,
_Brush Library Menu Item 3,TRUE,menu,,,Window > Brush Libraries > Arrows > Pattern Arrows,,
_Brush Library Menu Item 5,TRUE,menu,,,Window > Brush Libraries > Artistic > Artistic_Calligraphic,,
_Brush Library Menu Item 6,TRUE,menu,,,Window > Brush Libraries > Artistic > Artistic_ChalkCharcoalPencil,,
_Brush Library Menu Item 7,TRUE,menu,,,Window > Brush Libraries > Artistic > Artistic_Ink,,
_Brush Library Menu Item 8,TRUE,menu,,,Window > Brush Libraries > Artistic > Artistic_Paintbrush,,
_Brush Library Menu Item 9,TRUE,menu,,,Window > Brush Libraries > Artistic > Artistic_ScrollPen,,
_Brush Library Menu Item 10,TRUE,menu,,,Window > Brush Libraries > Artistic > Artistic_Watercolor,,
_Brush Library Menu Item 12,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Dashed,,
_Brush Library Menu Item 13,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Decorative,,
_Brush Library Menu Item 14,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Frames,,
_Brush Library Menu Item 15,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Geometric,,
_Brush Library Menu Item 16,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Indigenous,,
_Brush Library Menu Item 17,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Lines,,
_Brush Library Menu Item 18,TRUE,menu,,,Window > Brush Libraries > Borders > Borders_Novelty,,
_Brush Library Menu Item 20,TRUE,menu,,,Window > Brush Libraries > Bristle Brush > Bristle Brush Library,,
_Brush Library Menu Item 22,TRUE,menu,,,Window > Brush Libraries > Decorative > Decorative_Banners and Seals,,
_Brush Library Menu Item 23,TRUE,menu,,,Window > Brush Libraries > Decorative > Decorative_Scatter,,
_Brush Library Menu Item 24,TRUE,menu,,,Window > Brush Libraries > Decorative > Decorative_Text Dividers,,
_Brush Library Menu Item 25,TRUE,menu,,,Window > Brush Libraries > Decorative > Elegant Curl & Floral Brush Set,,
_Brush Library Menu Item 27,TRUE,menu,,,Window > Brush Libraries > Image Brush > Image Brush Library,,
_Brush Library Menu Item 29,TRUE,menu,,,Window > Brush Libraries > Vector Packs > Grunge brushes vector pack,,
_Brush Library Menu Item 30,TRUE,menu,,,Window > Brush Libraries > Vector Packs > Hand Drawn brushes vector pack,,
_Brush Library Menu Item 32,TRUE,menu,,,Window > Brush Libraries > Wacom 6D Brushes > 6d Art Pen Brushes,,
AdobeBrushMgrUI Other libraries menu item,FALSE,menu,,,Window > Brush Libraries > Other Library,Fenster > Pinsel-Bibliotheken > Andere Bibliothek …,Окно > Библиотеки кистей > Другая библиотека...
_Art Style Library Menu Item 0,TRUE,menu,,,Window > Graphic Style Libraries > 3D Effects,,
_Art Style Library Menu Item 1,TRUE,menu,,,Window > Graphic Style Libraries > Additive for Blob Brush,,
_Art Style Library Menu Item 2,TRUE,menu,,,Window > Graphic Style Libraries > Additive,,
_Art Style Library Menu Item 3,TRUE,menu,,,Window > Graphic Style Libraries > Artistic Effects,,
_Art Style Library Menu Item 4,TRUE,menu,,,Window > Graphic Style Libraries > Buttons and Rollovers,,
_Art Style Library Menu Item 5,TRUE,menu,,,Window > Graphic Style Libraries > Illuminate Styles,,
_Art Style Library Menu Item 6,TRUE,menu,,,Window > Graphic Style Libraries > Image Effects,,
_Art Style Library Menu Item 7,TRUE,menu,,,Window > Graphic Style Libraries > Neon Effects,,
_Art Style Library Menu Item 8,TRUE,menu,,,Window > Graphic Style Libraries > Scribble Effects,,
_Art Style Library Menu Item 9,TRUE,menu,,,Window > Graphic Style Libraries > Textures,,
_Art Style Library Menu Item 10,TRUE,menu,,,Window > Graphic Style Libraries > Type Effects,,
_Art Style Library Menu Item 11,TRUE,menu,,,Window > Graphic Style Libraries > Vonster Pattern Styles,,
Adobe Art Style Plugin Other libraries menu item,FALSE,menu,,,Window > Graphic Style Libraries > Other Library...,Fenster > Grafikstil-Bibliotheken > Andere Bibliothek …,Окно > Библиотеки стилей графики > Другая библиотека...
_Swatch Library Menu Item 1,TRUE,menu,,,Window > Swatch Libraries > Art History > Ancient,,
_Swatch Library Menu Item 2,TRUE,menu,,,Window > Swatch Libraries > Art History > Baroque,,
_Swatch Library Menu Item 3,TRUE,menu,,,Window > Swatch Libraries > Art History > Impressionism,,
_Swatch Library Menu Item 4,TRUE,menu,,,Window > Swatch Libraries > Art History > Middle Ages,,
_Swatch Library Menu Item 5,TRUE,menu,,,Window > Swatch Libraries > Art History > Pop Art,,
_Swatch Library Menu Item 6,TRUE,menu,,,Window > Swatch Libraries > Art History > Prehistoric,,
_Swatch Library Menu Item 7,TRUE,menu,,,Window > Swatch Libraries > Art History > Renaissance,,
_Swatch Library Menu Item 8,TRUE,menu,,,Window > Swatch Libraries > Art History > Russian Poster Art,,
_Swatch Library Menu Item 9,TRUE,menu,,,Window > Swatch Libraries > Celebration,,
_Swatch Library Menu Item 11,TRUE,menu,,,Window > Swatch Libraries > Color Books > ANPA Color,,
_Swatch Library Menu Item 12,TRUE,menu,,,Window > Swatch Libraries > Color Books > DIC Color Guide,,
_Swatch Library Menu Item 13,TRUE,menu,,,Window > Swatch Libraries > Color Books > FOCOLTONE,,
_Swatch Library Menu Item 15,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS E,,
_Swatch Library Menu Item 14,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS E Process,,
_Swatch Library Menu Item 17,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS K,,
_Swatch Library Menu Item 16,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS K Process,,
_Swatch Library Menu Item 19,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS N,,
_Swatch Library Menu Item 18,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS N Process,,
_Swatch Library Menu Item 21,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS Z,,
_Swatch Library Menu Item 20,TRUE,menu,,,Window > Swatch Libraries > Color Books > HKS Z Process,,
_Swatch Library Menu Item 22,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ CMYK Coated,,
_Swatch Library Menu Item 23,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ CMYK Uncoated,,
_Swatch Library Menu Item 24,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Color Bridge Coated,,
_Swatch Library Menu Item 25,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Color Bridge Uncoated,,
_Swatch Library Menu Item 26,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Metallic Coated,,
_Swatch Library Menu Item 27,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Pastels & Neons Coated,,
_Swatch Library Menu Item 28,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Pastels & Neons Uncoated,,
_Swatch Library Menu Item 29,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Premium Metallics Coated,,
_Swatch Library Menu Item 30,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Solid Coated,,
_Swatch Library Menu Item 31,TRUE,menu,,,Window > Swatch Libraries > Color Books > PANTONE+ Solid Uncoated,,
_Swatch Library Menu Item 32,TRUE,menu,,,Window > Swatch Libraries > Color Books > TOYO 94 COLOR FINDER,,
_Swatch Library Menu Item 33,TRUE,menu,,,Window > Swatch Libraries > Color Books > TOYO COLOR FINDER,,
_Swatch Library Menu Item 34,TRUE,menu,,,Window > Swatch Libraries > Color Books > TRUMATCH,,
_Swatch Library Menu Item 36,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Bright,,
_Swatch Library Menu Item 37,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Cool,,
_Swatch Library Menu Item 38,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Dark,,
_Swatch Library Menu Item 39,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Desaturated,,
_Swatch Library Menu Item 40,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Light,,
_Swatch Library Menu Item 41,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Saturated,,
_Swatch Library Menu Item 42,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Soft,,
_Swatch Library Menu Item 43,TRUE,menu,,,Window > Swatch Libraries > Color Properties > Warm,,
_Swatch Library Menu Item 44,TRUE,menu,,,Window > Swatch Libraries > Corporate,,
_Swatch Library Menu Item 46,TRUE,menu,,,Window > Swatch Libraries > Default Swatches > Art & Illustration,,
_Swatch Library Menu Item 47,TRUE,menu,,,Window > Swatch Libraries > Default Swatches > Mobile,,
_Swatch Library Menu Item 48,TRUE,menu,,,Window > Swatch Libraries > Default Swatches > Print,,
_Swatch Library Menu Item 49,TRUE,menu,,,Window > Swatch Libraries > Default Swatches > Video and Film,,
_Swatch Library Menu Item 50,TRUE,menu,,,Window > Swatch Libraries > Default Swatches > Web,,
_Swatch Library Menu Item 51,TRUE,menu,,,Window > Swatch Libraries > Earthtone,,
_Swatch Library Menu Item 53,TRUE,menu,,,Window > Swatch Libraries > Foods > Beverages,,
_Swatch Library Menu Item 54,TRUE,menu,,,Window > Swatch Libraries > Foods > Fruit,,
_Swatch Library Menu Item 55,TRUE,menu,,,Window > Swatch Libraries > Foods > Ice Cream,,
_Swatch Library Menu Item 56,TRUE,menu,,,Window > Swatch Libraries > Foods > Sweets,,
_Swatch Library Menu Item 57,TRUE,menu,,,Window > Swatch Libraries > Foods > Vegetables,,
_Swatch Library Menu Item 59,TRUE,menu,,,Window > Swatch Libraries > Gradients > Brights,,
_Swatch Library Menu Item 60,TRUE,menu,,,Window > Swatch Libraries > Gradients > Color Combinations,,
_Swatch Library Menu Item 61,TRUE,menu,,,Window > Swatch Libraries > Gradients > Color Harmonies,,
_Swatch Library Menu Item 62,TRUE,menu,,,Window > Swatch Libraries > Gradients > Earthtones,,
_Swatch Library Menu Item 63,TRUE,menu,,,Window > Swatch Libraries > Gradients > Fades,,
_Swatch Library Menu Item 64,TRUE,menu,,,Window > Swatch Libraries > Gradients > Foliage,,
_Swatch Library Menu Item 65,TRUE,menu,,,Window > Swatch Libraries > Gradients > Fruits and Vegetables,,
_Swatch Library Menu Item 66,TRUE,menu,,,Window > Swatch Libraries > Gradients > Gems and Jewels,,
_Swatch Library Menu Item 67,TRUE,menu,,,Window > Swatch Libraries > Gradients > Metals,,
_Swatch Library Menu Item 68,TRUE,menu,,,Window > Swatch Libraries > Gradients > Neutrals,,
_Swatch Library Menu Item 69,TRUE,menu,,,Window > Swatch Libraries > Gradients > Pastels,,
_Swatch Library Menu Item 70,TRUE,menu,,,Window > Swatch Libraries > Gradients > Seasons,,
_Swatch Library Menu Item 71,TRUE,menu,,,Window > Swatch Libraries > Gradients > Simple Radial,,
_Swatch Library Menu Item 72,TRUE,menu,,,Window > Swatch Libraries > Gradients > Skintones,,
_Swatch Library Menu Item 73,TRUE,menu,,,Window > Swatch Libraries > Gradients > Sky,,
_Swatch Library Menu Item 74,TRUE,menu,,,Window > Swatch Libraries > Gradients > Spectrums,,
_Swatch Library Menu Item 75,TRUE,menu,,,Window > Swatch Libraries > Gradients > Stone and Brick,,
_Swatch Library Menu Item 76,TRUE,menu,,,Window > Swatch Libraries > Gradients > Tints and Shades,,
_Swatch Library Menu Item 77,TRUE,menu,,,Window > Swatch Libraries > Gradients > Vignettes,,
_Swatch Library Menu Item 78,TRUE,menu,,,Window > Swatch Libraries > Gradients > Water,,
_Swatch Library Menu Item 79,TRUE,menu,,,Window > Swatch Libraries > Gradients > Wood,,
_Swatch Library Menu Item 80,TRUE,menu,,,Window > Swatch Libraries > Kids Stuff,,
_Swatch Library Menu Item 81,TRUE,menu,,,Window > Swatch Libraries > Metal,,
_Swatch Library Menu Item 83,TRUE,menu,,,Window > Swatch Libraries > Nature > Beach,,
_Swatch Library Menu Item 84,TRUE,menu,,,Window > Swatch Libraries > Nature > Flowers,,
_Swatch Library Menu Item 85,TRUE,menu,,,Window > Swatch Libraries > Nature > Foliage,,
_Swatch Library Menu Item 86,TRUE,menu,,,Window > Swatch Libraries > Nature > Landscape,,
_Swatch Library Menu Item 87,TRUE,menu,,,Window > Swatch Libraries > Nature > Seasons,,
_Swatch Library Menu Item 88,TRUE,menu,,,Window > Swatch Libraries > Nature > Stone and Brick,,
_Swatch Library Menu Item 89,TRUE,menu,,,Window > Swatch Libraries > Neutral,,
_Swatch Library Menu Item 92,TRUE,menu,,,Window > Swatch Libraries > Patterns > Basic Graphics > Basic Graphics_Dots,,
_Swatch Library Menu Item 93,TRUE,menu,,,Window > Swatch Libraries > Patterns > Basic Graphics > Basic Graphics_Lines,,
_Swatch Library Menu Item 94,TRUE,menu,,,Window > Swatch Libraries > Patterns > Basic Graphics > Basic Graphics_Textures,,
_Swatch Library Menu Item 96,TRUE,menu,,,Window > Swatch Libraries > Patterns > Decorative > Decorative Legacy,,
_Swatch Library Menu Item 97,TRUE,menu,,,Window > Swatch Libraries > Patterns > Decorative > Vonster Patterns,,
_Swatch Library Menu Item 99,TRUE,menu,,,Window > Swatch Libraries > Patterns > Nature > Nature_Animal Skins,,
_Swatch Library Menu Item 100,TRUE,menu,,,Window > Swatch Libraries > Patterns > Nature > Nature_Foliage,,
