key,type,,maxVersion,en,de,ru
Live Pathfinder Merge,menu,,,Effect > Pathfinder > Merge,Effekt > Pathfinder > Verdeckte Fläche entfernen,Эффект > Обработка контуров > Объединение
Live Pathfinder Crop,menu,,,Effect > Pathfinder > Crop,Effekt > Pathfinder > Schnittmengenfläche,Эффект > Обработка контуров > Кадрировать
Live Pathfinder Outline,menu,,,Effect > Pathfinder > Outline,Effekt > Pathfinder > Kontur aufteilen,Эффект > Обработка контуров > Контур
Live Pathfinder Hard Mix,menu,,,Effect > Pathfinder > Hard Mix,Effekt > Pathfinder > Hart mischen,Эффект > Обработка контуров > Жесткое смешивание
Live Pathfinder Soft Mix,menu,,,Effect > Pathfinder > Soft Mix...,Effekt > Pathfinder > Weich mischen …,Эффект > Обработка контуров > Нежесткое смешивание...
Live Pathfinder Trap,menu,,,Effect > Pathfinder > Trap...,Effekt > Pathfinder > Überfüllen …,Эффект > Обработка контуров > Треппинг…
Live Rasterize,menu,,,Effect > Rasterize...,Effekt > In Pixelbild umwandeln …,Эффект > Растрировать...
Live Adobe Drop Shadow,menu,,,Effect > Stylize > Drop Shadow...,Effekt > Stilisierungsfilter > Schlagschatten …,Эффект > Стилизация > Тень...
Live Feather,menu,,,Effect > Stylize > Feather...,Effekt > Stilisierungsfilter > Weiche Kante …,Эффект > Стилизация > Растушевка...
Live Inner Glow,menu,,,Effect > Stylize > Inner Glow...,Effekt > Stilisierungsfilter > Schein nach innen …,Эффект > Стилизация > Внутреннее свечение...
Live Outer Glow,menu,,,Effect > Stylize > Outer Glow...,Effekt > Stilisierungsfilter > Schein nach außen …,Эффект > Стилизация > Внешнее свечение...
Live Adobe Round Corners,menu,,,Effect > Stylize > Round Corners...,Effekt > Stilisierungsfilter > Ecken abrunden …,Эффект > Стилизация > Скругленные углы...
Live Scribble Fill,menu,,,Effect > Stylize > Scribble...,Effekt > Stilisierungsfilter > Scribble …,Эффект > Стилизация > Каракули…
Live SVG Filters,menu,,,Effect > SVG Filters > Apply SVG Filter...,Effekt > SVG-Filter > SVG-Filter anwenden …,Эффект > Фильтры SVG > Применить SVG-фильтр...
SVG Filter Import,menu,,,Effect > SVG Filters > Import SVG Filter...,Effekt > SVG-Filter > SVG-Filter importieren …,Эффект > Фильтры SVG > Импортировать фильтр SVG...
Live Deform Arc,menu,,,Effect > Warp > Arc...,Effekt > Verkrümmungsfilter > Bogen …,Эффект > Деформация > Дуга…
Live Deform Arc Lower,menu,,,Effect > Warp > Arc Lower...,Effekt > Verkrümmungsfilter > Bogen unten …,Эффект > Деформация > Дуга вниз…
Live Deform Arc Upper,menu,,,Effect > Warp > Arc Upper...,Effekt > Verkrümmungsfilter > Bogen oben …,Эффект > Деформация > Дуга вверх…
Live Deform Arch,menu,,,Effect > Warp > Arch...,Effekt > Verkrümmungsfilter > Torbogen …,Эффект > Деформация > Арка…
Live Deform Bulge,menu,,,Effect > Warp > Bulge...,Effekt > Verkrümmungsfilter > Wulst …,Эффект > Деформация > Выпуклость…
Live Deform Shell Lower,menu,,,Effect > Warp > Shell Lower...,Effekt > Verkrümmungsfilter > Muschel unten …,Эффект > Деформация > Панцирь вниз…
Live Deform Shell Upper,menu,,,Effect > Warp > Shell Upper...,Effekt > Verkrümmungsfilter > Muschel oben …,Эффект > Деформация > Панцирь вверх…
Live Deform Flag,menu,,,Effect > Warp > Flag...,Effekt > Verkrümmungsfilter > Flagge …,Эффект > Деформация > Флаг…
Live Deform Wave,menu,,,Effect > Warp > Wave...,Effekt > Verkrümmungsfilter > Schwingungen …,Эффект > Деформация > Волна…
Live Deform Fish,menu,,,Effect > Warp > Fish...,Effekt > Verkrümmungsfilter > Fisch …,Эффект > Деформация > Рыба…
Live Deform Rise,menu,,,Effect > Warp > Rise...,Effekt > Verkrümmungsfilter > Ansteigend …,Эффект > Деформация > Подъем…
Live Deform Fisheye,menu,,,Effect > Warp > Fisheye...,Effekt > Verkrümmungsfilter > Fischauge …,Эффект > Деформация > Рыбий глаз…
Live Deform Inflate,menu,,,Effect > Warp > Inflate...,Effekt > Verkrümmungsfilter > Aufblasen …,Эффект > Деформация > Раздувание…
Live Deform Squeeze,menu,,,Effect > Warp > Squeeze...,Effekt > Verkrümmungsfilter > Stauchen …,Эффект > Деформация > Сжатие…
Live Deform Twist,menu,,,Effect > Warp > Twist...,Effekt > Verkrümmungsfilter > Wirbel …,Эффект > Деформация > Скручивание…
Live PSAdapter_plugin_GEfc,menu,,,Effect > Effect Gallery...,Effekt > Effekte-Galerie …,Эффект > Галерея эффектов…
Live PSAdapter_plugin_ClrP,menu,,,Effect > Artistic > Colored Pencil...,Effekt > Kunstfilter > Buntstiftschraffur …,Эффект > Имитация > Цветные карандаши…
Live PSAdapter_plugin_Ct,menu,,,Effect > Artistic > Cutout...,Effekt > Kunstfilter > Farbpapier-Collage …,Эффект > Имитация > Аппликация…
Live PSAdapter_plugin_DryB,menu,,,Effect > Artistic > Dry Brush...,Effekt > Kunstfilter > Grobe Malerei …,Эффект > Имитация > Сухая кисть…
Live PSAdapter_plugin_FlmG,menu,,,Effect > Artistic > Film Grain...,Effekt > Kunstfilter > Körnung & Aufhellung …,Эффект > Имитация > Зернистость пленки…
Live PSAdapter_plugin_Frsc,menu,,,Effect > Artistic > Fresco...,Effekt > Kunstfilter > Fresko …,Эффект > Имитация > Фреска…
Live PSAdapter_plugin_NGlw,menu,,,Effect > Artistic > Neon Glow...,Effekt > Kunstfilter > Neonschein …,Эффект > Имитация > Неоновый свет…
Live PSAdapter_plugin_PntD,menu,,,Effect > Artistic > Paint Daubs...,Effekt > Kunstfilter > Ölfarbe getupft …,Эффект > Имитация > Масляная живопись…
Live PSAdapter_plugin_PltK,menu,,,Effect > Artistic > Palette Knife...,Effekt > Kunstfilter > Malmesser …,Эффект > Имитация > Шпатель…
Live PSAdapter_plugin_PlsW,menu,,,Effect > Artistic > Plastic Wrap...,Effekt > Kunstfilter > Kunststofffolie …,Эффект > Имитация > Целлофановая упаковка…
Live PSAdapter_plugin_PstE,menu,,,Effect > Artistic > Poster Edges...,Effekt > Kunstfilter > Tontrennung & Kantenbetonung …,Эффект > Имитация > Очерченные края…
Live PSAdapter_plugin_RghP,menu,,,Effect > Artistic > Rough Pastels...,Effekt > Kunstfilter > Grobes Pastell …,Эффект > Имитация > Пастель…
Live PSAdapter_plugin_SmdS,menu,,,Effect > Artistic > Smudge Stick...,Effekt > Kunstfilter > Diagonal verwischen …,Эффект > Имитация > Растушевка…
Live PSAdapter_plugin_Spng,menu,,,Effect > Artistic > Sponge...,Effekt > Kunstfilter > Schwamm …,Эффект > Имитация > Губка…
Live PSAdapter_plugin_Undr,menu,,,Effect > Artistic > Underpainting...,Effekt > Kunstfilter > Malgrund …,Эффект > Имитация > Рисование на обороте…
Live PSAdapter_plugin_Wtrc,menu,,,Effect > Artistic > Watercolor...,Effekt > Kunstfilter > Aquarell …,Эффект > Имитация > Акварель…
Live Adobe PSL Gaussian Blur,menu,,,Effect > Blur > Gaussian Blur...,Effekt > Weichzeichnungsfilter > Gaußscher Weichzeichner …,Эффект > Размытие > Размытие по Гауссу...
Live PSAdapter_plugin_RdlB,menu,,,Effect > Blur > Radial Blur...,Effekt > Weichzeichnungsfilter > Radialer Weichzeichner …,Эффект > Размытие > Радиальное размытие...
Live PSAdapter_plugin_SmrB,menu,,,Effect > Blur > Smart Blur...,Effekt > Weichzeichnungsfilter > Selektiver Weichzeichner …,Эффект > Размытие > Умное размытие...
Live PSAdapter_plugin_AccE,menu,,,Effect > Brush Strokes > Accented Edges...,Effekt > Malfilter > Kanten betonen …,Эффект > Штрихи > Акцент на краях…
Live PSAdapter_plugin_AngS,menu,,,Effect > Brush Strokes > Angled Strokes...,Effekt > Malfilter > Gekreuzte Malstriche …,Эффект > Штрихи > Наклонные штрихи…
Live PSAdapter_plugin_Crsh,menu,,,Effect > Brush Strokes > Crosshatch...,Effekt > Malfilter > Kreuzschraffur …,Эффект > Штрихи > Перекрестные штрихи…
Live PSAdapter_plugin_DrkS,menu,,,Effect > Brush Strokes > Dark Strokes...,Effekt > Malfilter > Dunkle Malstriche …,Эффект > Штрихи > Темные штрихи…
Live PSAdapter_plugin_InkO,menu,,,Effect > Brush Strokes > Ink Outlines...,Effekt > Malfilter > Konturen mit Tinte nachzeichnen …,Эффект > Штрихи > Обводка…
Live PSAdapter_plugin_Spt,menu,,,Effect > Brush Strokes > Spatter...,Effekt > Malfilter > Spritzer …,Эффект > Штрихи > Разбрызгивание…
Live PSAdapter_plugin_SprS,menu,,,Effect > Brush Strokes > Sprayed Strokes...,Effekt > Malfilter > Verwackelte Striche …,Эффект > Штрихи > Аэрограф…
Live PSAdapter_plugin_Smie,menu,,,Effect > Brush Strokes > Sumi-e...,Effekt > Malfilter > Sumi-e …,Эффект > Штрихи > Суми-э…
Live PSAdapter_plugin_DfsG,menu,,,Effect > Distort > Diffuse Glow...,Effekt > Verzerrungsfilter > Weiches Licht …,Эффект > Искажение > Рассеянное свечение…
Live PSAdapter_plugin_Gls,menu,,,Effect > Distort > Glass...,Effekt > Verzerrungsfilter > Glas …,Эффект > Искажение > Стекло…
Live PSAdapter_plugin_OcnR,menu,,,Effect > Distort > Ocean Ripple...,Effekt > Verzerrungsfilter > Ozeanwellen …,Эффект > Искажение > Океанские волны…
Live PSAdapter_plugin_ClrH,menu,,,Effect > Pixelate > Color Halftone...,Effekt > Vergröberungsfilter > Farbraster …,Эффект > Оформление > Цветные полутона…
Live PSAdapter_plugin_Crst,menu,,,Effect > Pixelate > Crystallize...,Effekt > Vergröberungsfilter > Kristallisieren …,Эффект > Оформление > Кристаллизация…
Live PSAdapter_plugin_Mztn,menu,,,Effect > Pixelate > Mezzotint...,Effekt > Vergröberungsfilter > Mezzotint …,Эффект > Оформление > Меццо-тинто…
Live PSAdapter_plugin_Pntl,menu,,,Effect > Pixelate > Pointillize...,Effekt > Vergröberungsfilter > Punktieren …,Эффект > Оформление > Пуантилизм…
Live PSAdapter_plugin_BsRl,menu,,,Effect > Sketch > Bas Relief...,Effekt > Zeichenfilter > Basrelief …,Эффект > Эскиз > Рельеф…
Live PSAdapter_plugin_ChlC,menu,,,Effect > Sketch > Chalk & Charcoal...,Effekt > Zeichenfilter > Chalk & Charcoal …,Эффект > Эскиз > Мел и уголь…
Live PSAdapter_plugin_Chrc,menu,,,Effect > Sketch > Charcoal...,Effekt > Zeichenfilter > Kohleumsetzung …,Эффект > Эскиз > Уголь…
Live PSAdapter_plugin_Chrm,menu,,,Effect > Sketch > Chrome...,Effekt > Zeichenfilter > Chrom …,Эффект > Эскиз > Хром…
Live PSAdapter_plugin_CntC,menu,,,Effect > Sketch > Cont\u00E9 Crayon...,Effekt > Zeichenfilter > Cont\u00E9-Stifte …,Эффект > Эскиз > Волшебный карандаш…
Live PSAdapter_plugin_GraP,menu,,,Effect > Sketch > Graphic Pen...,Effekt > Zeichenfilter > Strichumsetzung …,Эффект > Эскиз > Тушь…
Live PSAdapter_plugin_HlfS,menu,,,Effect > Sketch > Halftone Pattern...,Effekt > Zeichenfilter > Rasterungseffekt …,Эффект > Эскиз > Полутоновый узор…
Live PSAdapter_plugin_NtPr,menu,,,Effect > Sketch > Note Paper...,Effekt > Zeichenfilter > Prägepapier …,Эффект > Эскиз > Почтовая бумага…
Live PSAdapter_plugin_Phtc,menu,,,Effect > Sketch > Photocopy...,Effekt > Zeichenfilter > Fotokopie …,Эффект > Эскиз > Ксерокопия…
Live PSAdapter_plugin_Plst,menu,,,Effect > Sketch > Plaster...,Effekt > Zeichenfilter > Stuck …,Эффект > Эскиз > Гипс…
Live PSAdapter_plugin_Rtcl,menu,,,Effect > Sketch > Reticulation...,Effekt > Zeichenfilter > Punktierstich …,Эффект > Эскиз > Ретикуляция…
Live PSAdapter_plugin_Stmp,menu,,,Effect > Sketch > Stamp...,Effekt > Zeichenfilter > Stempel …,Эффект > Эскиз > Линогравюра…
Live PSAdapter_plugin_TrnE,menu,,,Effect > Sketch > Torn Edges...,Effekt > Zeichenfilter > Gerissene Kanten …,Эффект > Эскиз > Рваные края…
Live PSAdapter_plugin_WtrP,menu,,,Effect > Sketch > Water Paper...,Effekt > Zeichenfilter > Feuchtes Papier …,Эффект > Эскиз > Мокрая бумага…
Live PSAdapter_plugin_GlwE,menu,,,Effect > Stylize > Glowing Edges...,Effekt > Stilisierungsfilter > Leuchtende Konturen …,Эффект > Стилизация > Свечение краев…
Live PSAdapter_plugin_Crql,menu,,,Effect > Texture > Craquelure...,Effekt > Strukturierungsfilter > Risse …,Эффект > Текстура > Кракелюры…
Live PSAdapter_plugin_Grn,menu,,,Effect > Texture > Grain...,Effekt > Strukturierungsfilter > Körnung …,Эффект > Текстура > Зерно…
Live PSAdapter_plugin_MscT,menu,,,Effect > Texture > Mosaic Tiles...,Effekt > Strukturierungsfilter > Kacheln …,Эффект > Текстура > Мозаичные фрагменты…
Live PSAdapter_plugin_Ptch,menu,,,Effect > Texture > Patchwork...,Effekt > Strukturierungsfilter > Patchwork …,Эффект > Текстура > Цветная плитка…
Live PSAdapter_plugin_StnG,menu,,,Effect > Texture > Stained Glass...,Effekt > Strukturierungsfilter > Buntglas-Mosaik …,Эффект > Текстура > Витраж…
Live PSAdapter_plugin_Txtz,menu,,,Effect > Texture > Texturizer...,Effekt > Strukturierungsfilter > Mit Struktur versehen …,Эффект > Текстура > Текстуризатор…
Live PSAdapter_plugin_Dntr,menu,,,Effect > Video > De-Interlace...,Effekt > Videofilter > De-Interlace …,Эффект > Видео > Устранение чересстрочной развертки...
Live PSAdapter_plugin_NTSC,menu,,,Effect > Video > NTSC Colors,Effekt > Videofilter > NTSC-Farben,Эффект > Видео > Цвета NTSC
preview,menu,,,View > Outline / Preview,Ansicht > Vorschau / Pfadansicht,Просмотр > Контуры / Иллюстрация
GPU Preview,menu,,,View > GPU Preview / Preview on CPU,Ansicht > Mit GPU anzeigen / Mit CPU anzeigen,Просмотр > Просмотр с использованием ЦП / ГП
ink,menu,,,View > Overprint Preview,Ansicht > Überdruckenvorschau,Просмотр > Просмотр наложения цветов
raster,menu,,,View > Pixel Preview,Ansicht > Pixelvorschau,Просмотр > Просмотр в виде пикселов
proof-document,menu,,,View > Proof Setup > Working CMYK,Ansicht > Proof einrichten > Dokument-CMYK,Просмотр > Параметры цветопробы > Рабочее пространство CMYK
proof-mac-rgb,menu,,,View > Proof Setup > Legacy Macintosh RGB (Gamma 1.8),Ansicht > Proof einrichten > Altes Macintosh-RGB (Gamma 1.8),Просмотр > Параметры цветопробы > Ранняя версия Macintosh RGB (Gamma 1.8)
proof-win-rgb,menu,,,View > Proof Setup > Internet Standard RGB (sRGB),Ansicht > Proof einrichten > Internet-Standard-RGB (sRGB),Просмотр > Параметры цветопробы > Стандартная палитра RGB (sRGB) для сети Интернет
proof-monitor-rgb,menu,,,View > Proof Setup > Monitor RGB,Ansicht > Proof einrichten > Monitor-RGB,Просмотр > Параметры цветопробы > Палитра RGB монитора
proof-colorblindp,menu,,,View > Proof Setup > Color blindness - Protanopia-type,Ansicht > Proof einrichten > Farbenblindheit (Protanopie),Просмотр > Параметры цветопробы > Дальтонизм - протанопия
proof-colorblindd,menu,,,View > Proof Setup > Color blindness - Deuteranopia-type,Ansicht > Proof einrichten > Farbenblindheit (Deuteranopie),Просмотр > Параметры цветопробы > Дальтонизм - дейтеранопия
proof-custom,menu,,,View > Proof Setup > Customize...,Ansicht > Proof einrichten > Anpassen …,Просмотр > Параметры цветопробы > Заказные параметры…
proofColors,menu,,,View > Proof Colors,Ansicht > Farbproof,Просмотр > Цветопроба
zoomin,menu,,,View > Zoom In,Ansicht > Einzoomen,Просмотр > Увеличение
zoomout,menu,,,View > Zoom Out,Ansicht > Auszoomen,Просмотр > Уменьшение
fitin,menu,,,View > Fit Artboard in Window,Ansicht > Zeichenfläche in Fenster einpassen,Просмотр > Подогнать монтажную область по размеру окна
fitall,menu,,,View > Fit All in Window,Ansicht > Alle in Fenster einpassen,Просмотр > Подогнать все по размеру окна
AISlice Feedback Menu,menu,,,View > Show / Hide Slices,Ansicht > Slices einblenden / ausblenden,Просмотр > Показать / спрятать фрагменты
AISlice Lock Menu,menu,,,View > Lock Slices,Ansicht > Slices fixieren,Просмотр > Закрепить фрагменты
AI Bounding Box Toggle,menu,,,View > Show / Hide Bounding Box,Ansicht > Begrenzungsrahmen einblenden / ausblenden,Просмотр > Показать / спрятать ограничительную рамку
TransparencyGrid Menu Item,menu,,,View > Show / Hide Transparency Grid,Ansicht > Transparenzraster einblenden / ausblenden,Просмотр > Показать / спрятать сетку прозрачности
actualsize,menu,,,View > Actual Size,Ansicht > Originalgröße,Просмотр > Реальный размер
Show Gaps Planet X,menu,,,View > Show / Hide Live Paint Gaps,Ansicht > Interaktive Mallücken einblenden / ausblenden,Просмотр > Показать / спрятать зазоры быстрых заливок
Gradient Feedback,menu,,,View > Show / Hide Gradient Annotator,Ansicht > Verlaufsoptimierer einblenden / ausblenden,Просмотр > Показать / спрятать градиентный аннотатор
Live Corner Annotator,menu,17.1,,View > Show / Hide Corner Widget,Ansicht > Ecken-Widget einblenden / ausblenden,Просмотр > Показать / скрыть виджет углов
edge,menu,,,View > Show / Hide Edges,Ansicht > Ecken einblenden / ausblenden,Просмотр > Показать / спрятать границы
Snapomatic on-off menu item,menu,,,View > Smart Guides,Ansicht > Intelligente Hilfslinien,Просмотр > Быстрые направляющие
Show Perspective Grid,menu,,,View > Perspective Grid > Show / Hide Grid,Ansicht > Perspektivenraster > Raster einblenden / ausblenden,Просмотр > Сетка перспективы > Показать / скрыть сетку
Show Ruler,menu,,,View > Perspective Grid > Show / Hide Rulers,Ansicht > Perspektivenraster > Lineale einblenden / ausblenden,Просмотр > Сетка перспективы > Показать / скрыть линейки
Snap to Grid,menu,,,View > Perspective Grid > Snap to Grid,Ansicht > Perspektivenraster > Am Raster ausrichten,Просмотр > Сетка перспективы > Привязать к сетке
Lock Perspective Grid,menu,,,View > Perspective Grid > Lock Grid,Ansicht > Perspektivenraster > Raster sperren,Просмотр > Сетка перспективы > Закрепить сетку
Lock Station Point,menu,,,View > Perspective Grid > Lock Station Point,Ansicht > Perspektivenraster > Bezugspunkt sperren,Просмотр > Сетка перспективы > Закрепить точку наблюдения
Define Perspective Grid,menu,,,View > Perspective Grid > Define Grid,Ansicht > Perspektivenraster > Raster definieren,Просмотр > Сетка перспективы > Определить сетку...
Save Perspective Grid as Preset,menu,,,View > Perspective Grid > Save Grid as Preset,Ansicht > Perspektivenraster > Raster als Vorgabe speichern,Просмотр > Сетка перспективы > Сохранить сетку как стиль...
artboard,menu,,,View > Show / Hide Artboards,Ansicht > Zeichenflächen einblenden / ausblenden,Просмотр > Показать / скрыть монтажные области
pagetiling,menu,,,View > Show / Hide Print Tiling,Ansicht > Druckaufteilung einblenden / ausblenden,Просмотр > Показать / спрятать разбиение для печати
showtemplate,menu,,,View > Show / Hide Template,Ansicht > Vorlage einblenden / ausblenden,Просмотр > Спрятать шаблон
ruler,menu,,,View > Rulers > Show / Hide Rulers,Ansicht > Lineale > Lineale einblende / ausblendenn,Просмотр > Показать / скрыть линейки
rulerCoordinateSystem,menu,,,View > Rulers > Change to Global Rulers,Ansicht > Lineale > In globale Lineale ändern,Просмотр > Линейки > Сменить на общие линейки / монтажной области
videoruler,menu,,,View > Rulers > Show / Hide Video Rulers,Ansicht > Lineale > Videolineale einblenden / ausblenden,Просмотр > Показать / скрыть линейки видео
textthreads,menu,,,View > Show / Hide Text Threads,Ansicht > Textverkettungen einblenden / ausblenden,Просмотр > Показать / спрятать связи текстовых блоков
showguide,menu,,,View > Guides > Show / Hide Guides,Ansicht > Hilfslinien > Hilfslinien einblenden / ausblenden,Просмотр > Направляющие > Показать / спрятать направляющие
lockguide,menu,,,View > Guides > Lock Guides,Ansicht > Hilfslinien > Hilfslinien sperren,Просмотр > Направляющие > Закрепить направляющие
makeguide,menu,,,View > Guides > Make Guides,Ansicht > Hilfslinien > Hilfslinien erstellen,Просмотр > Направляющие > Создать направляющие
releaseguide,menu,,,View > Guides > Release Guides,Ansicht > Hilfslinien > Hilfslinien zurückwandeln,Просмотр > Направляющие > Освободить направляющие
clearguide,menu,,,View > Guides > Clear Guides,Ansicht > Hilfslinien > Hilfslinien löschen,Просмотр > Направляющие > Удалить направляющие
showgrid,menu,,,View > Show / Hide Grid,Ansicht > Raster einblenden / ausblenden,Просмотр > Показать / спрятать сетку
snapgrid,menu,,,View > Snap to Grid,Ansicht > Am Raster ausrichten,Просмотр > Выравнивать по сетке
snappoint,menu,,,View > Snap to Point,Ansicht > An Punkt ausrichten,Просмотр > Выравнивать по точкам
newview,menu,,,View > New View...,Ansicht > Neue Ansicht …,Просмотр > Новый вид…
editview,menu,,,View > Edit Views...,Ansicht > Ansicht bearbeiten …,Просмотр > Редактировать виды…
newwindow,menu,,,Window > New Window,Fenster > Neues Fenster,Окно > Новое окно
cascade,menu,,,Window > Arrange > Cascade,Fenster > Anordnen > Überlappend,Окно > Упорядить > Каскадом
tile,menu,,,Window > Arrange > Tile,Fenster > Anordnen > Nebeneinander,Окно > Упорядить > Мозаикой
floatInWindow,menu,,,Window > Arrange > Float in Window,Fenster > Anordnen > In Fenster verschiebbar machen,Окно > Упорядить > Плавающее в окне
floatAllInWindows,menu,,,Window > Arrange > Float All in Windows,Fenster > Anordnen > Alle in Fenstern verschiebbar machen,Окно > Упорядить > Все плавающие в окнах
consolidateAllWindows,menu,,,Window > Arrange > Consolidate All Windows,Fenster > Anordnen > Alle Fenster zusammenführen,Окно > Упорядить > Объединить все окна
Adobe Reset Workspace,menu,,,Window > Reset Workspace,Fenster > Arbeitsbereich > Zurücksetzen,Окно > Восстановить рабочую среду
Adobe New Workspace,menu,,,Window > Workspace > New Workspace...,Fenster > Arbeitsbereich > Neuer Arbeitsbereich …,Окно > Рабочая среда > Создать рабочую среду...
Adobe Manage Workspace,menu,,,Window > Workspace > Manage Workspaces...,Fenster > Arbeitsbereich > Arbeitsbereiche verwalten …,Окно > Рабочая среда > Управление рабочими средами...
Browse Add-Ons Menu,menu,19,,Window > Find Extensions on Exchange...,Fenster > Erweiterungen auf Exchange suchen …,Окно > Поиск расширений на Exchange...
drover control palette plugin,menu,,,Window > Control,Fenster > Steuerung,Окно > Панель управления
Adobe Advanced Toolbar Menu,menu,23,,Window > Toolbars > Advanced,Fenster > Werkzeugleisten > Erweitert,Окно > Панели инструментов > Дополнительные
Adobe Basic Toolbar Menu,menu,23,,Window > Toolbars > Basic,Fenster > Werkzeugleisten > Einfach,Окно > Панели инструментов > Основные
New Tools Panel,menu,17,,Window > Toolbars > New Toolbar...,Fenster > Werkzeugleisten > Neue Werkzeugleiste …,Окно > Панели инструментов > Новая панель инструментов...
Manage Tools Panel,menu,17,,Window > Toolbars > Manage Toolbar...,Fenster > Werkzeugleisten > Werkzeugleisten verwalten …,Окно > Панели инструментов > Управление панелями инструментов...
Adobe 3D Panel,menu,26,,Window > 3D and Materials,Fenster > 3D und Materialien,Окно > 3D и материалы
Adobe Action Palette,menu,,,Window > Actions,Fenster > Aktionen,Окно > Операции
AdobeAlignObjects2,menu,,,Window > Align,Fenster > Ausrichten,Окно > Выравнивание
Style Palette,menu,,,Window > Appearance,Fenster > Aussehen,Окно > Оформление
Adobe Artboard Palette,menu,,,Window > Artboards,Fenster > Zeichenflächen,Окно > Монтажные области
Adobe SmartExport Panel Menu Item,menu,20,,Window > Asset Export,Fenster > Export von Element,Окно > Экспорт ресурсов
internal palettes posing as plug-in menus-attributes,menu,,,Window > Attributes,Fenster > Attribute,Окно > Атрибуты
Adobe BrushManager Menu Item,menu,,,Window > Brushes,Fenster > Pinsel,Окно > Кисти
Adobe Color Palette,menu,,,Window > Color,Fenster > Farbe,Окно > Цвет
Adobe Harmony Palette,menu,,,Window > Color Guide,Fenster > Farbhilfe,Окно > Каталог цветов
Adobe Commenting Palette,menu,26,,Window > Comments,Fenster > Kommentare,Окно > Комментарии
CSS Menu Item,menu,,,Window > CSS Properties,CSS-Eigenschaften,Окно > Свойства CSS
DocInfo1,menu,,,Window > Document Info,Fenster > Dokumentinformationen,Окно > Информация о документе
Adobe Flattening Preview,menu,,,Window > Flattener Preview,Fenster > Reduzierungsvorschau,Окно > Просмотр результатов сведения
Adobe Gradient Palette,menu,,,Window > Gradient,Fenster > Verlauf,Окно > Градиент
Adobe Style Palette,menu,,,Window > Graphic Styles,Fenster > Grafikstile,Окно > Стили графики
Adobe HistoryPanel Menu Item,menu,26.4,,Window > History,Fenster > Versionsverlauf,Окно > История
internal palettes posing as plug-in menus-info,menu,,,Window > Info,Fenster > Info,Окно > Информация
AdobeLayerPalette1,menu,,,Window > Layers,Fenster > Ebenen,Окно > Слои
Adobe CSXS Extension com.adobe.DesignLibraries.angularLibraries,menu,,,Window > Libraries,Fenster > Bibliotheken,Окно > Библиотеки
Adobe LinkPalette Menu Item,menu,,,Window > Links,Fenster > Verknüpfungen,Окно > Связи
AI Magic Wand,menu,,,Window > Magic Wand,Fenster > Zauberstab,Окно > Волшебная палочка
AdobeNavigator,menu,,,Window > Navigator,Fenster > Navigator,Окно > Навигатор
Adobe PathfinderUI,menu,,,Window > Pathfinder,Fenster > Pathfinder,Окно > Обработка контуров
Adobe Pattern Panel Toggle,menu,,,Window > Pattern Options,Fenster > Musteroptionen,Окно > Параметры узора
Adobe Property Palette,menu,26,,Window > Properties,Fenster > Eigenschaften,Окно > Свойства
Adobe Separation Preview Panel,menu,,,Window > Separations Preview,Fenster > Separationenvorschau,Окно > Просмотр цветоделений
Adobe Stroke Palette,menu,,,Window > Stroke,Fenster > Kontur,Окно > Обводка
Adobe SVG Interactivity Palette,menu,,,Window > SVG Interactivity,Fenster > SVG-Interaktivität,Окно > Интерактивность SVG
Adobe Swatches Menu Item,menu,,,Window > Swatches,Fenster > Farbfelder,Окно > Образцы
Adobe Symbol Palette,menu,,,Window > Symbols,Fenster > Symbole,Окно > Символы
AdobeTransformObjects1,menu,,,Window > Transform,Fenster > Transformieren,Окно > Трансформирование
Adobe Transparency Palette Menu Item,menu,,,Window > Transparency,Fenster > Transparenz,Окно > Прозрачность
internal palettes posing as plug-in menus-character,menu,,,Window > Type > Character,Fenster > Schrift > Zeichen,Окно > Текст > Символ
Character Styles,menu,,,Window > Type > Character Styles,Fenster > Schrift > Zeichenformate,Окно > Текст > Стили символов
alternate glyph palette plugin 2,menu,,,Window > Type > Glyphs,Fenster > Schrift > Glyphen,Окно > Текст > Глифы
internal palettes posing as plug-in menus-opentype,menu,,,Window > Type > OpenType,Fenster > Schrift > OpenType,Окно > Текст > OpenType
internal palettes posing as plug-in menus-paragraph,menu,,,Window > Type > Paragraph,Fenster > Schrift > Absatz,Окно > Текст > Абзац
Adobe Paragraph Styles Palette,menu,,,Window > Type > Paragraph Styles,Fenster > Schrift > Absatzformate,Окно > Текст > Стили абзацев
internal palettes posing as plug-in menus-tab,menu,,,Window > Type > Tabs,Fenster > Schrift > Tabulatoren,Окно > Текст > Табуляция
Adobe Variables Palette Menu Item,menu,,,Window > Variables,Fenster > Variablen,Окно > Переменные
Adobe Version History File Menu Item,menu,26,,Window > Version History,Fenster > Versionsverlauf,Окно > Журнал версий
AdobeBrushMgrUI Other libraries menu item,menu,,,Window > Brush Libraries > Other Library,Fenster > Pinsel-Bibliotheken > Andere Bibliothek …,Окно > Библиотеки кистей > Другая библиотека...
Adobe Art Style Plugin Other libraries menu item,menu,,,Window > Graphic Style Libraries > Other Library...,Fenster > Grafikstil-Bibliotheken > Andere Bibliothek …,Окно > Библиотеки стилей графики > Другая библиотека...
